section,item_number,item_text,item_full_text,Study 1,Study 2,Study 3,Study 4,Study 5,Study 6,Study 7,Study 8,Study 9,Study 10,Study 11,Study 12,Study 13,Study 14,Study 15
Title and abstract,1a,Indicate the study's design,Indicate the study’s design with a commonly used term in the title or the abstract,No,Not applicable,Unclear,No,Not applicable,Not applicable,Yes,Unclear,Yes,Yes,Yes,Unclear,No,No,No
Title and abstract,1b,Provide a balanced summary,Provide in the abstract an informative and balanced summary of what was done and what was found,No,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Not applicable,Not applicable,Not applicable,No,Not applicable,Yes,Not applicable
Introduction,2,Background/rationale,Explain the scientific background and rationale for the investigation being reported,No,Yes,No,No,No,Unclear,Yes,No,No,Yes,Yes,Unclear,Unclear,No,Not applicable
Introduction,3,Objectives,"State specific objectives, including any prespecified hypotheses",No,Not applicable,Yes,Not applicable,Not applicable,Not applicable,No,Yes,Not applicable,Not applicable,No,No,Not applicable,Not applicable,Yes
Methods,4,Study design,Present key elements of study design early in the paper,Not applicable,Not applicable,No,Unclear,No,Unclear,Unclear,No,No,No,No,No,Not applicable,Unclear,Yes
Methods,5,Setting,"Describe the setting, locations, and relevant dates, including periods of recruitment, exposure, follow-up, and data collection",Unclear,Not applicable,No,Not applicable,Yes,Not applicable,Not applicable,Yes,Unclear,Yes,Yes,Yes,Unclear,Unclear,No
Methods,6a,Participants,"Give the eligibility criteria, and the sources and methods of selection of participants. Describe methods of follow-up",Yes,Unclear,Not applicable,Not applicable,Yes,No,Not applicable,Unclear,Yes,Unclear,No,Unclear,Yes,No,Unclear
Methods,6b,Participants,"For matched studies, give matching criteria and number of exposed and unexposed",Not applicable,Unclear,Yes,Yes,Unclear,No,Unclear,No,Yes,Unclear,Not applicable,Yes,No,Not applicable,Unclear
Methods,7,Variables,"Clearly define all outcomes, exposures, predictors, potential confounders, and effect modifiers. Give diagnostic criteria, if applicable",Yes,Not applicable,Yes,Unclear,No,No,No,Yes,Yes,No,Not applicable,Unclear,No,Not applicable,No
Methods,8,Data sources/ measurement,"For each variable of interest, give sources of data and details of methods of assessment (measurement). Describe comparability of assessment methods if there is more than one group",Unclear,Yes,Yes,Yes,Yes,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,No,Yes,Unclear,Unclear
