section,item_number,item_text,full_item,Study 1,Study 2,Study 3
Title and abstract,1,Title,"Identify the study as developing and/or validating a multivariable prediction model, the target population, and the outcome to be predicted.",No,Unclear,Not applicable
Title and abstract,2,Abstract,"Provide a summary of objectives, study design, setting, participants, sample size, predictors, outcome, statistical analysis, results, and conclusions.",Yes,No,No
Introduction,3a,Background and objectives,"Explain the medical context (including whether diagnostic or prognostic) and rationale
for developing or validating the multivariable prediction model, including references to existing models.",Yes,No,Yes
Introduction,3b,Background and objectives,"Specify the objectives, including whether the study describes the development or
validation of the model or both.",Yes,Not applicable,Yes
Methods,4a,Source of data,"Describe the study design or source of data (e.g., randomized trial, cohort, or registry data), separately for the development and validation data sets, if applicable.",Unclear,Unclear,Yes
Methods,4b,Source of data,"Specify the key study dates, including start of accrual; end of accrual; and, if applicable, end of follow-up.",Not applicable,Unclear,No
Methods,5a,Participants,"Specify key elements of the study setting (e.g., primary care, secondary care, general population) including number and location of centres.",Yes,Yes,Not applicable
Methods,5b,Participants,Describe eligibility criteria for participants.,No,No,No
Methods,5c,Participants,"Give details of treatments received, if relevant.",Yes,No,Unclear
Methods,6a,Outcome,"Clearly define the outcome that is predicted by the prediction model, including how and
when assessed.",Not applicable,Yes,Unclear
Methods,6b,Outcome,Report any actions to blind assessment of the outcome to be predicted.,Not applicable,Yes,Unclear
Methods,7a,Predictors,"Clearly define all predictors used in developing or validating the multivariable prediction model, including how and when they were measured.",Not applicable,Unclear,Yes
Methods,7b,Predictors,Report any actions to blind assessment of predictors for the outcome and other predictors.,Yes,No,Yes
Methods,8,Sample size,Explain how the study size was arrived at.,Not applicable,Not applicable,Not applicable
Methods,9,Missing data,"Describe how missing data were handled (e.g., complete-case analysis, single imputation, multiple imputation) with details of any imputation method.",Not applicable,No,Not applicable
Methods,10a,Statistical analysis methods,Describe how predictors were handled in the analyses.,No,Not applicable,Yes
Methods,10b,Statistical analysis methods,"Specify type of model, all model-building procedures (including any predictor selection), and method for internal validation.",No,Yes,Unclear
Methods,10c,Statistical analysis methods,"For validation, describe how the predictions were calculated.",Unclear,Not applicable,Unclear
Methods,10d,Statistical analysis methods,"Specify all measures used to assess model performance and, if relevant, to compare multiple models.",Yes,No,Unclear
Methods,10e,Statistical analysis methods,"Describe any model updating (e.g., recalibration) arising from the validation, if done.",No,Yes,Unclear
Methods,11,Risk groups,"Provide details on how risk groups were created, if done.",Yes,Unclear,Not applicable
Methods,12,Development vs. validation,"For validation, identify any differences from the development data in setting, eligibility criteria, outcome, and predictors.",Unclear,No,No
Results,13a,Participants,"Describe the flow of participants through the study, including the number of participants with and without the outcome and, if applicable, a summary of the follow-up time. A diagram may be helpful.",No,Not applicable,Not applicable
Results,13b,Participants,"Describe the characteristics of the participants (basic demographics, clinical features, available predictors), including the number of participants with missing data for predictors and outcome.",Yes,Not applicable,No
Results,13c,Participants,"For validation, show a comparison with the development data of the distribution of important variables (demographics, predictors and outcome).",Yes,Not applicable,Unclear
Results,14a,Model development,Specify the number of participants and outcome events in each analysis.,Not applicable,Unclear,Unclear
Results,14b,Model development,"If done, report the unadjusted association between each candidate predictor and
outcome.",Unclear,No,No
Results,15a,Model specification,"Present the full prediction model to allow predictions for individuals (i.e., all regression
coefficients, and model intercept or baseline survival at a given time point).",Unclear,Yes,No
Results,15b,Model specification,Explain how to the use the prediction model.,Yes,Unclear,Unclear
Results,16,Model performance,Report performance measures (with CIs) for the prediction model.,Yes,Yes,Unclear
Results,17,Model-updating,"If done, report the results from any model updating (i.e., model specification, model performance).",No,Unclear,Yes
Discussion,18,Limitations,"Discuss any limitations of the study (such as nonrepresentative sample, few events per
predictor, missing data).",Unclear,Unclear,Unclear
Discussion,19a,Interpretation,"For validation, discuss the results with reference to performance in the development data, and any other validation data.",Not applicable,Not applicable,Unclear
Discussion,19b,Interpretation,"Give an overall interpretation of the results, considering objectives, limitations, results from similar studies, and other relevant evidence.",No,Unclear,Yes
Discussion,20,Implications,Discuss the potential clinical use of the model and implications for future research.,No,No,No
Other information,21,"Supplementary
information","Provide information about the availability of supplementary resources, such as study
protocol, Web calculator, and data sets.",No,Unclear,Unclear
Other information,22,Funding,Give the source of funding and the role of the funders for the present study.,Yes,Yes,Unclear
