"section","checklist_item","Study 1","Study 2"
"1","Title","1. Title",,
"2","Abstract","2. Abstract",,
"3","Introduction","3. Background and objectives",,
"4","Methods","4. Health economic analysis plan",,
"5","Methods","5. Study population",,
"6","Methods","6. Setting and location",,
"7","Methods","7. Comparators",,
"8","Methods","8. Perspective",,
"9","Methods","9. Time horizon",,
"10","Methods","10. Discount rate",,
"11","Methods","11. Selection of outcomes",,
"12","Methods","12. Measurement of outcomes",,
"13","Methods","13. Valuation of outcomes",,
"14","Methods","14. Measurement and valuation of resources and costs",,
"15","Methods","15. Currency, price date, and conversion",,
"16","Methods","16. Rationale and description of model",,
"17","Methods","17. Analytics and assumptions",,
"18","Methods","18. Characterizing heterogeneity",,
"19","Methods","19. Characterizing distributional effects",,
"20","Methods","20. Characterizing uncertainty",,
"21","Methods","21. Approach to engagement with patients and others affected by the study",,
"22","Results","22. Study parameters",,
"23","Results","23. Summary of main results",,
"24","Results","24. Effect of uncertainty",,
"25","Results","25. Effect of engagement with patients and others affected by the study",,
"26","Discussion","26. Study findings, limitations, generalizability, and current knowledge",,
"27","Other information","27. Source of funding",,
"28","Other information","28. Conflicts of interest",,
