"section","checklist_item","Study 1","Study 2"
"1","Title","1. Title",,
"2","Abstract","2. Structured summary",,
"3","Introduction","3. Rationale",,
"4","Introduction","4. Objectives",,
"5","Methods","5. Protocol and registration",,
"6","Methods","6. Eligibility criteria",,
"7","Methods","7. Information sources",,
"8","Methods","8. Search",,
"9","Methods","9. Selection of sources of evidence",,
"10","Methods","10. Data charting process",,
"11","Methods","11. Data items",,
"12","Methods","12. Critical appraisal of individual sources of evidence",,
"13","Methods","13. Synthesis of results",,
"14","Results","14. Selection of sources of evidence",,
"15","Results","15. Characteristics of sources of evidence",,
"16","Results","16. Critical appraisal within sources of evidence",,
"17","Results","17. Results of individual sources of evidence",,
"18","Results","18. Sythesis of results",,
"19","Discussion","19. Summary of evidence",,
"20","Discussion","20. Limitations",,
"21","Discussion","21. Conclusions",,
"22","Funding","22. Funding",,
