"section","checklist_item","Study 1","Study 2"
"1","Title","1. Title",,
"2","Abstract","2. Abstract",,
"3","Introduction","3. Rationale",,
"4","Introduction","4. Objectives",,
"5","Methods","5. Eligibility criteria",,
"6","Methods","6. Information sources",,
"7","Methods","7. Search strategy",,
"8","Methods","8. Selection process",,
"9","Methods","9. Data collection process",,
"10","Methods","10a. Data items",,
"11","Methods","10b. Data items",,
"12","Methods","11.Study risk of bias assessment",,
"13","Methods","12. Effect measures",,
"14","Methods","13a. Synthesis methods",,
"15","Methods","13b. Synthesis methods",,
"16","Methods","13c. Synthesis methods",,
"17","Methods","13d. Synthesis methods",,
"18","Methods","13e. Synthesis methods",,
"19","Methods","13f. Synthesis methods",,
"20","Methods","14. Reporting bias assessment",,
"21","Methods","15. Certainty assessment",,
"22","Results","16a. Study selection",,
"23","Results","16b. Study selection",,
"24","Results","17. Study characteristics",,
"25","Results","18. Risk of bias in studies",,
"26","Results","19. Results of individual studies",,
"27","Results","20a. Results of syntheses",,
"28","Results","20b. Results of syntheses",,
"29","Results","20c. Results of syntheses",,
"30","Results","20d. Results of syntheses",,
"31","Results","21. Reporting biases",,
"32","Results","22. Certainty of evidence",,
"33","Discussion","23a. Discussion",,
"34","Discussion","23b. Discussion",,
"35","Discussion","23c. Discussion",,
"36","Discussion","23d. Discussion",,
"37","Other information","24a. Registration and protocol",,
"38","Other information","24b. Registration and protocol",,
"39","Other information","24c. Registration and protocol",,
"40","Other information","25. Support",,
"41","Other information","26. Competing interests",,
"42","Other information","27. Availability of data, code and other materials",,
