"section","checklist_item","Study 1","Study 2"
"1","Administrative information","1. Title",,
"2","Administrative information","2a. Trial registration",,
"3","Administrative information","2b. Trial registration",,
"4","Administrative information","3. Protocol version",,
"5","Administrative information","4. Funding",,
"6","Administrative information","5a. Roles and responsibilities",,
"7","Administrative information","5b. Roles and responsibilities",,
"8","Administrative information","5c. Roles and responsibilities",,
"9","Administrative information","5d. Roles and responsibilities",,
"10","Introduction","6a. Background and rationale",,
"11","Introduction","6b. Background and rationale",,
"12","Introduction","7. Objectives",,
"13","Introduction","8. Trial design",,
"14","Methods: Participants, interventions, and outcomes","9. Study setting",,
"15","Methods: Participants, interventions, and outcomes","10. Eligibility criteria",,
"16","Methods: Participants, interventions, and outcomes","11a. Interventions",,
"17","Methods: Participants, interventions, and outcomes","11b. Interventions",,
"18","Methods: Participants, interventions, and outcomes","11c. Interventions",,
"19","Methods: Participants, interventions, and outcomes","11d. Interventions",,
"20","Methods: Participants, interventions, and outcomes","12. Outcomes",,
"21","Methods: Participants, interventions, and outcomes","13. Participant timeline",,
"22","Methods: Participants, interventions, and outcomes","14. Sample size",,
"23","Methods: Participants, interventions, and outcomes","15. Recruitment",,
"24","Methods: Assignment of interventions","16a. Allocation sequence generation",,
"25","Methods: Assignment of interventions","16b. Allocation concealment mechanism",,
"26","Methods: Assignment of interventions","17a. Blinding",,
"27","Methods: Assignment of interventions","17b. Blinding",,
"28","Methods: Data collection, management and analysis","18a. Data collection methods",,
"29","Methods: Data collection, management and analysis","18b. Data collection methods",,
"30","Methods: Data collection, management and analysis","19. Data management",,
"31","Methods: Data collection, management and analysis","20a. Statistical methods",,
"32","Methods: Data collection, management and analysis","20b. Statistical methods",,
"33","Methods: Data collection, management and analysis","20c. Statistical methods",,
"34","Methods: Monitoring","21a. Data monitoring",,
"35","Methods: Monitoring","21b. Data monitoring",,
"36","Methods: Monitoring","22. Harms",,
"37","Methods: Monitoring","23. Auditing",,
"38","Ethics and dissemination","24. Research ethics approval",,
"39","Ethics and dissemination","25. Protocol amendments",,
"40","Ethics and dissemination","26a. Consent or assent",,
"41","Ethics and dissemination","26b. Consent or assent",,
"42","Ethics and dissemination","27. Confidentiality",,
"43","Ethics and dissemination","28. Declarations of interest",,
"44","Ethics and dissemination","29. Access to data",,
"45","Ethics and dissemination","30. Ancillary and post-trial care",,
"46","Ethics and dissemination","31a. Dissemination policy",,
"47","Ethics and dissemination","31b. Dissemination policy",,
"48","Ethics and dissemination","31c. Dissemination policy",,
"49","Appendices","32. Informed consent materials",,
"50","Appendices","33. Biological specimens",,
