"section","checklist_item","Study 1","Study 2"
"1","Title","1. Title",,
"2","Abstract","2. Abstract",,
"3","Introduction","3. Problem description",,
"4","Introduction","4. Available knowledge",,
"5","Introduction","5. Rationale",,
"6","Introduction","6. Specific aims",,
"7","Methods","7. Context",,
"8","Methods","8. Intervention(s)",,
"9","Methods","9. Study of the intervention(s)",,
"10","Methods","10. Measures",,
"11","Methods","11. Analysis",,
"12","Methods","12. Ethical considerations",,
"13","Results","13. Results",,
"14","Discussion","14. Summary",,
"15","Discussion","15. Interpretation",,
"16","Discussion","16. Limitations",,
"17","Discussion","17. Conclusions",,
"18","Other information","18. Funding",,
