"section","checklist_item","Study 1","Study 2"
"1","Title and Abstract","1. Title",,
"2","Title and Abstract","2. Abstract",,
"3","Introduction","3. Problem formulation",,
"4","Introduction","4. Purpose or research question",,
"5","Methods","5. Qualitative approach and research paradigm",,
"6","Methods","6. Researcher characteristics and reflexivity",,
"7","Methods","7. Context",,
"8","Methods","8. Sampling strategy",,
"9","Methods","9. Ethical issues pertaining to human subjects",,
"10","Methods","10. Data collection methods",,
"11","Methods","11. Data collection instruments and technologies",,
"12","Methods","12. Units of study",,
"13","Methods","13. Data processing",,
"14","Methods","14. Data analysis",,
"15","Methods","15. Techniques to enhance trustworthiness",,
"16","Results/findings","16. Synthesis and interpretation",,
"17","Results/findings","17. Links to empirical data",,
"18","Discussion","18. Integration",,
"19","Discussion","19. Limitations",,
"20","Other","20. Conflicts of interest",,
"21","Other","21. Funding",,
