"section","checklist_item","Study 1","Study 2"
"1","Title","1. Title",,
"2","Abstract","2. Abstract",,
"3","Introduction","3. Introduction - background",,
"4","Introduction","4. Intoduction - study objectives",,
"5","Methods","5. Study design",,
"6","Methods","6. Participants",,
"7","Methods","7. Participants",,
"8","Methods","8. Participants",,
"9","Methods","9. Participants",,
"10","Methods","10a. Test methods",,
"11","Methods","10b. Test methods",,
"12","Methods","11. Test methods",,
"13","Methods","12a. Test methods",,
"14","Methods","12b. Test methods",,
"15","Methods","13a. Test methods",,
"16","Methods","13b. Test methods",,
"17","Methods","14. Analysis",,
"18","Methods","15. Analysis",,
"19","Methods","16. Analysis",,
"20","Methods","17. Analysis",,
"21","Methods","18. Analysis",,
"22","Results","19. Participants",,
"23","Results","20. Participants",,
"24","Results","21a. Participants",,
"25","Results","21b. Participants",,
"26","Results","22. Participants",,
"27","Results","23. Test results",,
"28","Results","24. Test results",,
"29","Results","25. Test results",,
"30","Discussion","26. Discussion",,
"31","Discussion","27. Discussion",,
"32","Other information","28. Other information",,
"33","Other information","29. Other information",,
"34","Other information","30. Other information",,
