"section","checklist_item","Study 1","Study 2"
"1","Title and Abstract","1a. Study design in title/abstract",,
"2","Title and Abstract","1b. Abstract",,
"3","Introduction","2. Background/rationale",,
"4","Introduction","3. Objectives",,
"5","Methods","4. Study design",,
"6","Methods","5. Setting",,
"7","Methods","6a. Participants",,
"8","Methods","6b. Participants",,
"9","Methods","7. Variables",,
"10","Methods","8. Data sources/ measurement",,
"11","Methods","9. Bias",,
"12","Methods","10. Study size",,
"13","Methods","11. Quantitative variables",,
"14","Methods","12a. Statistical methods",,
"15","Methods","12b. Statistical methods",,
"16","Methods","12c. Statistical methods",,
"17","Methods","12d. Statistical methods",,
"18","Methods","12e. Statistical methods",,
"19","Results","13a. Participants",,
"20","Results","13b. Participants",,
"21","Results","13c. Participants",,
"22","Results","14a. Descriptive data",,
"23","Results","14b. Descriptive data",,
"24","Results","14c. Descriptive data",,
"25","Results","15. Outcome data",,
"26","Results","16a. Main results",,
"27","Results","16b. Main results",,
"28","Results","16c. Main results",,
"29","Results","17. Other analyses",,
"30","Discussion","18. Key results",,
"31","Discussion","19. Limitations",,
"32","Discussion","20. Interpretation",,
"33","Discussion","21. Generalisability",,
"34","Other information","22. Funding",,
