"section","checklist_item","Study 1","Study 2"
"1","Brief name","1. Brief name",,
"2","Why","2. Why",,
"3","What","3. Materials",,
"4","What","4. Procedures",,
"5","Who provided","5. Who provided",,
"6","How","6. How",,
"7","Where","7. Where",,
"8","When and how much","8a. Intensity",,
"9","When and how much","8b. Frequency",,
"10","When and how much","8c. Session time",,
"11","When and how much","8d. Overall duration",,
"12","Tailoring","9. Tailoring",,
"13","Modifications","10. Modifications",,
"14","How well","11. Planned",,
"15","How well","12. Actual",,
