"section","checklist_item","Study 1","Study 2"
"1","Title and Abstract","1. Title",,
"2","Title and Abstract","2. Abstract",,
"3","Introduction","3a. Background and objectives",,
"4","Introduction","3b. Background and objectives",,
"5","Methods","4a. Source of data",,
"6","Methods","4b. Source of data",,
"7","Methods","5a. Participants",,
"8","Methods","5b. Participants",,
"9","Methods","5c. Participants",,
"10","Methods","6a. Outcome",,
"11","Methods","6b. Outcome",,
"12","Methods","7a. Predictors",,
"13","Methods","7b. Predictors",,
"14","Methods","8. Sample size",,
"15","Methods","9. Missing data",,
"16","Methods","10a. Statistical analysis methods",,
"17","Methods","10b. Statistical analysis methods",,
"18","Methods","10c. Statistical analysis methods",,
"19","Methods","10d. Statistical analysis methods",,
"20","Methods","10e. Statistical analysis methods",,
"21","Methods","11. Risk groups",,
"22","Methods","12. Development vs. validation",,
"23","Results","13a. Participants",,
"24","Results","13b. Participants",,
"25","Results","13c. Participants",,
"26","Results","14a. Model development",,
"27","Results","14b. Model development",,
"28","Results","15a. Model specification",,
"29","Results","15b. Model specification",,
"30","Results","16. Model performance",,
"31","Results","17. Model-updating",,
"32","Discussion","18. Limitations",,
"33","Discussion","19a. Interpretation",,
"34","Discussion","19b. Interpretation",,
"35","Discussion","20. Implications",,
"36","Other information","21. Supplementary information",,
"37","Other information","22. Funding",,
